target,preprocessing,RMSE,MAE,R2,RPD,n_wavelengths_selected,alpha_selected,l1_ratio_selected
Moisture,mean_center,0.061673107269320473,0.04554664972048204,0.9733772089668044,6.167436066940529,62,0.0013085427132681663,0.9
Oil,sg_deriv2,0.03360469971257228,0.02578113623640412,0.9635174496083468,5.268522660551645,124,0.0006989294014881003,0.9
Protein,sg_deriv1,0.04718685734288874,0.03345297095326479,0.9909306173708934,10.566778052080362,51,0.004529691308719144,0.9
Starch,sg_deriv2,0.19155139515822603,0.15026409539627092,0.9448394994795917,4.284669704001636,108,0.003186112526363392,0.9
