target,preprocessing,RMSE,MAE,R2,RPD,n_components_selected_mode
Moisture,mean_center,0.018557041444816083,0.014929149271927612,0.9975896539465138,20.497068310388148,9
Oil,sg_deriv2,0.02999626865476446,0.024369182892312415,0.9709317007610689,5.9023048491265975,9
Protein,sg_deriv1,0.0924908728272862,0.06678611902565681,0.9651555693903208,5.390943271219574,10
Starch,sg_deriv2,0.22830874982676236,0.17494821135766347,0.9216385125475258,3.5948445261798287,6
