target,RMSE,MAE,R2,RPD,n_components_selected_mode,n_components_selected_min,n_components_selected_max
Moisture,0.04913732706869946,0.03775920108880888,0.9831000671053653,7.740855451931821,9,8,10
Oil,0.06104086351173495,0.046858306379961405,0.8796277189295383,2.9004688294208614,10,8,10
Protein,0.09006419051475772,0.0687058639076478,0.9669600093004223,5.536196413554421,9,8,9
Starch,0.26504798097493343,0.2145132395570406,0.8943896310425035,3.0965505059678855,7,6,10
