target,test_instrument,preprocessing,n_components,in_domain_RMSE_mean,in_domain_R2_mean,RMSE,MAE,R2,RPD
Moisture,mp5,raw,9,0.0186,0.9976,1.4602502075430004,1.4387487142710529,-13.925073434341414,0.26047929606056813
Moisture,mp6,raw,9,0.0186,0.9976,1.554717757234747,1.528072901576222,-15.918624092611093,0.24465208836980426
Oil,mp5,sg_deriv2,10,0.03,0.9709,0.2820719128694174,0.2696690996138906,-1.5704244318924983,0.6276666121617105
Oil,mp6,sg_deriv2,10,0.03,0.9709,0.18014939471075125,0.16880544069085504,-0.04845734772103194,0.982779443811
Protein,mp5,sg_deriv1,8,0.0925,0.9652,0.7976814469009748,0.7877485556175822,-1.591758899252349,0.6250779060420875
Protein,mp6,sg_deriv1,8,0.0925,0.9652,0.9494958729342511,0.9415784120463593,-2.6721615520255364,0.5251345084593231
Starch,mp5,sg_deriv2,8,0.2283,0.9216,1.3859317400061573,1.345719604700553,-1.8876279784312238,0.5921896698823351
Starch,mp6,sg_deriv2,8,0.2283,0.9216,0.5853112739797021,0.5144032322277139,0.484971410061821,1.4022187784173088
